key,2022-08-23,2022-08-24,2022-08-25,2022-08-26,2022-08-27,2022-08-28,2022-08-29,2022-08-30,2022-08-31,2022-09-01,2022-09-02,2022-09-03,2022-09-04,2022-09-05,2022-09-06,2022-09-07,2022-09-08,2022-09-09,2022-09-10,2022-09-11,2022-09-12,2022-09-13,2022-09-14,2022-09-15,2022-09-16,2022-09-17,2022-09-18,2022-09-19,2022-09-20,2022-09-21,2022-09-22
4000175,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
4000182,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
4000220,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
4000239,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
4000240,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
4000241,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
4000243,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
4000244,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
4000245,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
4000246,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
4000247,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
4000248,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
4000249,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
4000250,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
4000251,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
4000252,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
5005293,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
5008819,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
5016749,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8591894,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8591942,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592030,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592038,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592046,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592054,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592062,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592070,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592190,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592198,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592206,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592214,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592222,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592230,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592238,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592246,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592254,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592270,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592278,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592302,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592310,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8592326,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8593462,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8593470,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8593478,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8593830,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8593838,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8593846,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8593854,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8593862,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596062,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596070,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596078,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596086,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596094,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596102,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596110,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596478,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596486,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596494,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596502,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596526,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596534,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596550,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596558,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596566,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596574,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596582,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596598,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596766,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596822,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596902,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596958,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596974,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596982,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596990,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8596998,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8597006,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8597318,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8597326,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8597334,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8624282,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
8634504,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480,480,480,0,0,480,480,480
