date,4000175,4000182,4000220,4000239,4000240,4000241,4000243,4000244,4000245,4000246,4000247,4000248,4000249,4000250,4000251,4000252,5005293,5008819,5016749,8591894,8591942,8592030,8592038,8592046,8592054,8592062,8592070,8592190,8592198,8592206,8592214,8592222,8592230,8592238,8592246,8592254,8592270,8592278,8592302,8592310,8592326,8593462,8593470,8593478,8593830,8593838,8593846,8593854,8593862,8596062,8596070,8596078,8596086,8596094,8596102,8596110,8596478,8596486,8596494,8596502,8596526,8596534,8596550,8596558,8596566,8596574,8596582,8596598,8596766,8596822,8596902,8596958,8596974,8596982,8596990,8596998,8597006,8597318,8597326,8597334,8624282,8634504,8634669,8635110,8638100,8644143,8644884,8648927,8694910,8696873,8697104,8697138,8697146,8702991,8703002,8706987,8706995,8707006,8707014,8707022,8707030,8707064,8716762,8717970,8725305,8730512,8734841,8737239,8737823,8738332,8738340,8738764,8738772,8738798,8738803,8738811,8738845,8738853,8738879,8738887,8738895,8739011,8739037,8739045,8739053,8739061,8739087,8739095,8739100,8739118,8739126,8739134,8739142,8739150,8739168,8739176,8739184,8739192,8739207,8739215,8739223,8739231,8739249,8739257,8739265,8739273,8739281,8739299,8739304,8739320,8739338,8739346,8752108,8756275,8756704,8770075,8773895,8784587,8801169,8801517,8808933,8812487,8820977,8839112,8839285,8840066,9183467,9486718,9557844,9583706,9626350,9627178,9634303,9634361,9636290,9637783,9637830,9641782,9642071,9698593,9722520,9736171,9736325,9736561,9738474,9740528,9746477,9753767,9784946,9795581,9798848,9814343,9869495,9893478,9926881,9965178,9972531
2022-07-23,45,252,105,147,252,147,252,147,0,252,0,0,0,0,0,0,0,119,13,4,152,47,264,0,50,266,0,0,11,267,149,13,0,0,135,117,50,50,445,266,778,122,60,127,13,50,782,0,60,0,55,254,266,0,58,125,148,262,278,50,259,50,3,3,271,13,0,258,11,275,146,111,263,50,50,0,0,0,0,50,268,275,58,0,144,263,277,0,0,0,117,0,47,0,780,50,52,13,10,254,3,0,60,263,269,0,53,0,0,41,269,157,14,0,3,0,162,0,118,0,154,122,0,0,312,160,113,0,273,154,58,154,119,4,54,154,58,53,0,58,400,0,200,50,0,275,143,0,264,281,14,13,41,0,0,147,260,13,254,265,0,47,0,265,232,0,152,149,8,274,179,278,153,58,157,148,0,267,0,115,13,85,154,0,273,267,13,153,160,418,50,0,428,0,777,270,125
2022-07-24,765,105,252,252,0,252,252,147,0,252,0,0,0,0,0,0,0,128,442,0,212,55,0,57,0,0,54,0,14,151,147,124,59,54,134,116,788,779,266,157,0,0,60,14,123,56,0,0,60,42,56,120,124,636,0,125,144,129,124,0,253,777,0,0,135,0,0,6,14,124,147,0,269,0,0,56,0,33,0,0,270,268,0,0,258,263,157,466,147,108,119,158,52,0,0,56,0,15,0,250,56,0,56,261,270,56,0,0,639,56,136,15,15,322,0,0,14,56,0,0,14,122,0,57,116,161,437,57,116,0,0,0,128,2,0,158,0,0,0,56,113,5,230,161,0,150,140,161,252,277,159,15,191,0,0,9,258,46,256,266,0,52,0,256,266,149,149,122,4,0,116,283,151,56,144,0,54,0,56,122,2,111,156,271,274,110,414,124,161,15,0,52,0,124,0,121,127
2022-07-25,0,252,252,252,252,252,147,0,0,252,0,0,0,0,0,0,0,0,0,0,155,0,268,54,0,14,54,0,14,150,134,122,53,47,132,117,0,0,344,155,51,0,0,115,0,780,60,0,789,45,0,120,258,60,0,134,12,128,165,0,123,0,53,53,134,0,0,115,13,125,261,0,123,0,0,779,53,0,0,0,118,5,55,0,124,155,128,54,264,0,118,11,0,42,53,745,0,8,50,255,0,0,0,10,9,54,56,0,126,792,155,260,367,0,54,58,13,54,0,0,260,122,0,57,410,12,110,57,152,13,0,160,13,0,0,155,0,56,122,0,34,4,250,0,58,15,13,0,10,130,160,8,192,0,0,114,150,41,152,118,0,0,0,125,118,152,0,13,3,0,114,212,15,0,12,150,46,269,0,120,0,112,15,155,266,124,16,15,162,0,514,56,414,125,51,119,123
2022-07-26,45,105,252,147,252,147,0,147,0,252,0,0,0,0,0,0,0,86,0,0,261,0,145,0,52,267,778,0,13,5,269,111,0,779,123,262,53,53,348,271,52,0,787,0,116,0,56,116,0,777,0,117,260,60,58,285,147,125,133,52,258,58,52,52,131,0,0,120,13,117,0,0,119,50,0,0,52,0,0,53,264,276,0,0,565,162,123,0,146,0,119,157,0,0,48,0,57,157,53,255,57,0,546,0,272,0,0,0,0,0,282,155,14,456,53,52,12,0,7,0,12,268,0,783,119,162,453,0,150,10,59,157,158,2,56,157,55,0,122,0,0,5,98,530,52,12,263,350,261,282,422,157,12,0,0,112,453,0,0,155,0,0,151,263,123,0,0,120,24,146,117,383,12,537,160,146,0,114,57,109,2,111,12,272,160,162,14,265,12,422,0,370,118,123,48,109,123
2022-07-27,0,252,252,252,147,147,252,0,0,252,0,0,0,0,0,0,0,0,15,118,0,53,144,0,51,264,0,0,14,122,137,109,544,0,123,112,52,52,342,5,0,0,60,124,153,51,0,120,60,0,59,122,118,0,56,132,150,128,164,51,5,48,786,786,137,0,0,0,14,122,0,0,120,52,0,51,780,0,0,51,272,0,56,0,476,112,127,0,10,0,119,0,51,0,0,0,52,157,785,253,0,0,59,150,267,0,52,0,0,50,281,153,420,114,787,0,133,0,122,0,15,200,0,0,115,162,115,0,11,14,56,153,14,0,54,159,54,52,122,60,426,2,0,51,0,275,122,0,123,160,268,14,40,0,0,112,464,0,118,261,0,51,0,266,259,0,0,124,20,200,123,301,153,60,12,144,48,267,0,0,0,111,160,12,128,265,15,14,162,14,51,415,431,267,0,122,109
2022-07-28,0,0,0,0,0,45,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,477,52,775,400,52,0,0,489,0,587,54,52,0,0,0,0,0,587,0,0,60,0,0,58,0,0,60,40,59,0,777,0,0,600,441,0,597,777,0,0,0,0,0,0,0,0,0,591,0,0,587,775,0,58,0,0,0,0,585,589,0,0,0,0,0,0,0,0,574,0,48,0,0,57,772,0,0,591,58,0,60,589,0,52,0,0,0,57,791,587,278,943,0,0,0,52,489,0,780,587,0,56,616,590,940,56,0,460,0,658,0,598,0,0,0,0,0,60,0,0,0,58,0,0,0,57,0,0,0,587,0,0,0,0,0,30,586,588,0,49,0,0,588,0,0,0,0,462,0,515,601,60,519,399,771,788,57,0,588,0,0,596,590,0,0,0,588,596,57,0,0,0,0,0,0
2022-07-29,0,765,765,765,765,45,0,570,0,570,0,0,0,0,0,0,0,364,0,0,568,0,0,58,0,0,288,0,0,0,380,0,63,55,591,578,0,0,368,0,51,0,794,585,580,0,56,583,796,47,786,488,0,60,0,0,0,493,792,0,494,0,57,57,0,0,0,0,0,0,0,0,501,0,0,0,57,577,0,0,0,0,57,0,577,570,0,0,0,0,0,772,781,46,52,0,0,0,51,583,0,0,791,0,0,58,58,0,0,0,0,0,120,0,53,57,383,58,784,0,0,0,0,58,0,0,0,59,423,0,0,0,788,0,0,0,0,58,0,0,758,0,0,0,57,782,490,0,783,793,0,0,0,0,0,506,415,42,0,0,0,0,575,359,0,772,530,493,0,0,489,447,0,0,0,0,0,0,0,0,0,503,0,0,0,493,1026,0,0,0,0,58,860,431,52,0,0
2022-07-30,45,0,252,252,252,0,0,147,252,252,0,0,0,0,0,0,259,123,14,0,273,0,269,784,55,0,0,157,6,8,273,151,797,0,274,56,47,48,620,163,55,0,0,43,112,0,59,0,0,0,0,154,161,60,55,131,157,154,164,47,268,47,59,59,276,0,0,262,6,152,264,0,152,47,46,0,58,570,0,47,112,283,0,0,0,272,0,59,154,0,133,149,0,55,55,0,45,3,55,264,59,0,0,268,0,773,0,437,0,0,282,15,12,118,55,59,162,0,8,0,263,122,0,0,108,160,297,798,157,97,55,159,162,0,57,163,0,0,275,0,1,1,0,0,59,153,263,58,268,157,159,159,190,0,0,141,269,0,265,113,146,0,0,0,270,154,152,154,24,279,118,327,413,0,158,0,60,0,58,107,1,110,162,279,274,262,0,13,160,420,0,0,297,110,55,0,110
2022-07-31,45,147,252,252,252,765,0,0,252,252,0,0,0,0,0,0,120,0,14,2,273,55,119,0,0,265,0,3,12,125,10,0,0,0,132,0,54,54,159,269,781,0,56,14,126,56,0,116,56,0,52,120,262,0,57,273,155,128,281,54,267,55,782,0,136,0,0,157,12,123,10,0,3,56,55,55,0,464,0,54,109,120,56,0,0,264,0,0,11,0,74,5,45,0,791,56,56,0,789,253,0,0,58,4,0,0,56,476,0,0,283,0,416,404,0,0,13,0,125,0,13,126,0,0,119,162,117,0,118,0,57,159,13,0,56,159,56,56,274,52,317,8,0,56,0,13,106,0,0,283,19,13,162,0,0,3,149,0,257,117,113,45,0,126,115,0,0,126,4,13,116,276,78,55,155,0,56,153,0,120,2,110,13,275,115,124,13,266,162,14,55,0,0,124,730,116,125
2022-08-01,765,147,252,252,252,45,0,0,252,252,0,0,0,0,0,0,123,139,14,0,156,53,264,55,0,155,53,150,7,1,267,0,58,53,124,0,792,0,120,12,0,0,60,66,9,184,0,255,60,0,51,117,10,635,773,131,138,124,0,0,260,0,0,0,133,0,0,0,14,0,150,0,116,0,0,56,0,111,60,0,122,150,782,0,115,12,0,0,259,0,120,151,45,0,0,57,781,13,0,126,56,56,57,150,0,53,0,9,0,57,157,0,14,121,0,0,12,53,1,53,13,121,0,60,0,14,421,60,0,0,787,157,127,0,0,157,0,0,270,57,116,7,0,0,0,270,245,0,156,279,135,14,40,0,0,109,150,37,120,259,0,45,0,144,263,152,152,119,3,157,117,193,14,57,9,0,0,0,57,123,1,111,13,128,269,0,387,13,160,14,57,49,424,12,0,111,118
